name,comparisons_consumed,comparisons_saved,percentage_saved,stopping_round,stopping_reason,kendall_tau,spearman_rho,top3_membership_matches,top3_order_matches,median_absolute_elo_delta,max_absolute_elo_delta,followup_gate_passed,deterministic_across_repeats
full_stored_board,4293,0,0.0,10,reference_full_stored_board,1.0,1.0,True,True,0.0,0.0,False,True
balanced_adaptive,4293,0,0.0,10,sample_batches_exhausted,1.0,1.0,True,True,0.0,0.0,False,True
targeted,870,3423,79.73445143256464,10,sample_batches_exhausted,0.9340659340659341,0.9824175824175824,True,False,36.324012616772166,85.48806834881134,False,True
targeted_size_3_min_10,736,3557,82.8558117866294,10,sample_batches_exhausted,0.9120879120879122,0.9780219780219781,True,False,58.990128796044814,105.94030058452245,False,True
targeted_size_2_min_10,629,3664,85.3482413230841,10,sample_batches_exhausted,0.8901098901098902,0.9516483516483516,False,False,79.17359272935346,167.3788996229182,False,
targeted_size_3_min_5,735,3558,82.87910552061496,10,sample_batches_exhausted,0.8241758241758242,0.9120879120879121,True,False,78.99465533836747,155.25138218007942,False,
targeted_size_3_min_15,786,3507,81.69112508735151,10,sample_batches_exhausted,0.9340659340659341,0.9824175824175824,True,False,45.96421937350601,98.40518201923669,False,
targeted_size_5_min_10,810,3483,81.13207547169812,10,sample_batches_exhausted,0.9340659340659341,0.9824175824175824,True,False,35.79769882564415,85.05249919270636,False,
targeted_v2_warmup_5,1153,3140,73.14232471465176,10,sample_batches_exhausted,0.9120879120879122,0.9692307692307693,True,True,74.00128832887003,157.47055173226,False,
targeted_v2_warmup_10,1561,2732,63.63848124854414,10,sample_batches_exhausted,0.9340659340659341,0.9824175824175824,True,True,50.010774503823654,99.06594467468392,False,
targeted_v2_explore_every_3,2023,2270,52.8767761472164,10,sample_batches_exhausted,0.9560439560439562,0.9912087912087912,True,False,31.810298159779563,98.55740418889195,False,
targeted_v2_warmup_5_explore_3_annotate_3x,1946,2347,54.67039366410435,10,sample_batches_exhausted,0.9340659340659341,0.9868131868131869,True,False,29.7766934028906,88.15292448408707,False,True
targeted_v2_warmup_10_explore_3_annotate_3x,2313,1980,46.121593291404615,10,sample_batches_exhausted,0.9560439560439562,0.9912087912087912,True,True,37.08905123317106,99.6396142776457,False,
targeted_v2_warmup_5_explore_3_size_stop_3x,1820,2473,57.60540414628465,10,sample_batches_exhausted,0.9340659340659341,0.9868131868131869,True,False,31.76489367253805,90.77328734957064,False,
pair-balanced_700_seed_42,700,3593,83.69438621010949,0,predeclared_static_budget,0.8681318681318682,0.9692307692307693,False,False,35.38612554748215,64.21191215428712,False,
pair-balanced_700_seed_43,700,3593,83.69438621010949,0,predeclared_static_budget,0.7582417582417583,0.9252747252747253,False,False,36.85152517560209,116.38438099675818,False,
pair-balanced_700_seed_44,700,3593,83.69438621010949,0,predeclared_static_budget,0.9780219780219781,0.9956043956043955,True,True,15.782769046150293,72.57611807296644,False,
pair-balanced_700_seed_45,700,3593,83.69438621010949,0,predeclared_static_budget,0.8681318681318682,0.956043956043956,False,False,34.88736020560384,112.7705037139533,False,
