strategy,model,elo,full_elo,delta,absolute_delta
full_stored_board,FireRedTeam/FireRed-OCR,1556.3777567649604,1556.3777567649604,0.0,0.0
full_stored_board,PaddlePaddle/PP-OCRv6_medium,1354.3332993861072,1354.3332993861072,0.0,0.0
full_stored_board,PaddlePaddle/PaddleOCR-VL-1.6,1503.691822219892,1503.691822219892,0.0,0.0
full_stored_board,allenai/olmOCR-2-7B-1025-FP8,1497.230656288293,1497.230656288293,0.0,0.0
full_stored_board,baidu/Qianfan-OCR,1576.6608094768258,1576.6608094768258,0.0,0.0
full_stored_board,baidu/Unlimited-OCR,1563.2800425238524,1563.2800425238524,0.0,0.0
full_stored_board,deepseek-ai/DeepSeek-OCR,1451.5246523995515,1451.5246523995515,0.0,0.0
full_stored_board,deepseek-ai/DeepSeek-OCR-2,1579.3558964368967,1579.3558964368967,0.0,0.0
full_stored_board,lightonai/LightOnOCR-2-1B,1617.5188506558277,1617.5188506558277,0.0,0.0
full_stored_board,numind/NuExtract3,1571.572188853421,1571.572188853421,0.0,0.0
full_stored_board,rednote-hilab/dots.mocr,1556.2216675111229,1556.2216675111229,0.0,0.0
full_stored_board,rednote-hilab/dots.ocr,1529.2527243518712,1529.2527243518712,0.0,0.0
full_stored_board,tesseract-5,1151.0531271625612,1151.0531271625612,0.0,0.0
full_stored_board,zai-org/GLM-OCR,1491.926505968817,1491.926505968817,0.0,0.0
balanced_adaptive,FireRedTeam/FireRed-OCR,1556.3777567649604,1556.3777567649604,0.0,0.0
balanced_adaptive,PaddlePaddle/PP-OCRv6_medium,1354.3332993861072,1354.3332993861072,0.0,0.0
balanced_adaptive,PaddlePaddle/PaddleOCR-VL-1.6,1503.691822219892,1503.691822219892,0.0,0.0
balanced_adaptive,allenai/olmOCR-2-7B-1025-FP8,1497.230656288293,1497.230656288293,0.0,0.0
balanced_adaptive,baidu/Qianfan-OCR,1576.6608094768258,1576.6608094768258,0.0,0.0
balanced_adaptive,baidu/Unlimited-OCR,1563.2800425238524,1563.2800425238524,0.0,0.0
balanced_adaptive,deepseek-ai/DeepSeek-OCR,1451.5246523995515,1451.5246523995515,0.0,0.0
balanced_adaptive,deepseek-ai/DeepSeek-OCR-2,1579.3558964368967,1579.3558964368967,0.0,0.0
balanced_adaptive,lightonai/LightOnOCR-2-1B,1617.5188506558277,1617.5188506558277,0.0,0.0
balanced_adaptive,numind/NuExtract3,1571.572188853421,1571.572188853421,0.0,0.0
balanced_adaptive,rednote-hilab/dots.mocr,1556.2216675111229,1556.2216675111229,0.0,0.0
balanced_adaptive,rednote-hilab/dots.ocr,1529.2527243518712,1529.2527243518712,0.0,0.0
balanced_adaptive,tesseract-5,1151.0531271625612,1151.0531271625612,0.0,0.0
balanced_adaptive,zai-org/GLM-OCR,1491.926505968817,1491.926505968817,0.0,0.0
targeted,FireRedTeam/FireRed-OCR,1634.4644819496004,1556.3777567649604,78.08672518464004,78.08672518464004
targeted,PaddlePaddle/PP-OCRv6_medium,1298.3199433004734,1354.3332993861072,-56.01335608563386,56.01335608563386
